商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
脆皮鸡腿饭套餐,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
脆皮鸡腿饭套餐,combo,甜辣酱（大包）,SA01001,10.0,g,0.033705,0.33704999999999996,堂食,0.033705,0.03,7.0,g,0.03
脆皮鸡腿饭套餐,combo,香米,DR01002,70.0,g,0.02247,1.5729,通用,0.02247,0.02,7.0,g,0.02
脆皮鸡腿饭套餐,combo,香辣蘸料,MK01016,40.0,g,0.1052413087845,4.20965235138,通用,0.1052413087845,0.09,7.0,g,0.093672727
脆皮鸡腿饭套餐,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡腿饭套餐,combo,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,通用,3.66261,3.26,7.0,pc,3.26
脆皮鸡腿饭套餐,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮鸡腿饭套餐,combo,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
脆皮鸡腿饭套餐,combo,番茄酱（大包）,SA01002,10.0,g,0.033705,0.33704999999999996,堂食,0.033705,0.03,7.0,g,0.03
脆皮鸡腿饭套餐,combo,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮鸡腿饭套餐,combo,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
脆鸡桶2（10只鸡翅）,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
脆鸡桶2（10只鸡翅）,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆鸡桶2（10只鸡翅）,single,手套,PA99023,1.0,pc,0.07864500000000002,0.07864500000000002,外卖,0.07864500000000002,0.07,7.0,pc,0.07
脆鸡桶2（10只鸡翅）,single,翅根,FR01004,10.0,pc,4.7108103,47.108103,通用,4.7108103,4.49,0.0,pc,4.486486
脆鸡桶2（10只鸡翅）,single,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆鸡桶2（10只鸡翅）,single,甜辣酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
脆鸡桶2（10只鸡翅）,single,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
自然Pop-5฿（柠檬冬瓜茶）,single,500PP杯（U型）,PA99015,1.0,pc,1.03362,1.03362,通用,1.03362,0.92,7.0,pc,0.92
自然Pop-5฿（柠檬冬瓜茶）,single,柠檬冬瓜味粉,BE02004,12.0,g,0.2584050000000001,3.1008600000000013,通用,0.2584050000000001,0.23,7.0,g,0.23
自然Pop-5฿（柠檬冬瓜茶）,single,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
自然Pop-5฿（柠檬冬瓜茶）,single,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
自然Pop-5฿（荔枝）,single,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
自然Pop-5฿（荔枝）,single,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
自然Pop-5฿（荔枝）,single,荔枝味粉,BE02005,12.0,g,0.2584050000000001,3.1008600000000013,通用,0.2584050000000001,0.23,7.0,g,0.23
自然Pop-5฿（荔枝）,single,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
自然Pop-5฿（青芒果）,single,500PP杯（U型）,PA99015,1.0,pc,1.03362,1.03362,通用,1.03362,0.92,7.0,pc,0.92
自然Pop-5฿（青芒果）,single,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
自然Pop-5฿（青芒果）,single,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
自然Pop-5฿（青芒果）,single,酸芒果味粉,BE02003,12.0,g,0.2584050000000001,3.1008600000000013,通用,0.2584050000000001,0.23,7.0,g,0.23
自然Pop套餐2,combo,500PP杯（U型）,PA99015,1.0,pc,1.03362,1.03362,通用,1.03362,0.92,7.0,pc,0.92
自然Pop套餐2,combo,酸芒果味粉,BE02003,12.0,g,0.2584050000000001,3.1008600000000013,通用,0.2584050000000001,0.23,7.0,g,0.23
自然Pop套餐2,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
